oc_jurisdiction_code;oc_company_number;inc_jurisdiction_code;wikirate_number;company_name
fr;969504133;fr;2795820;Fiducial Office Solutions
es;74219304;es;2315849;EDP Renovaveis S.A.
fr;353380793;fr;2313517;Teleperformance
es;61965190;es;965757;BMN
fr;323912998;fr;2791803;Eurogroup Consulting
nl;40506685;nl;2805173;Royal HaskoningDHV
ch;319912;ch;2799567;Sulzer Management AG
us_ca;C0812367;us_de;160884;Avery Dennison Corporation
us_ca;C1183477;us_ca;42656;Cisco Systems
us_mi;603765;us_de;56576;Dow Chemical
us_ca;C3766360;us_de;2602223;Hewlett Packard Enterprise
us_ma;951778500;us_de;47887;Raytheon
ch;948818;ch;37401;TE Connectivity Ltd.
fr;414604645;fr;61267;Saint-Gobain
gb;04730752;gb;2612077;Shop Direct Limited
fr;562091546;fr;2792801;Bouygues Immobilier
gb;01417162;gb;47641;Legal & General Group
hk;F0007480;bm;2631044;Hanergy Thin Film Power Group
gb;00296805;gb;2624196;Taylor Wimpey PLC
gb;00814103;gb;2617988;N Brown Group plc
hk;0067895;hk;56689;Bank of China
in;BKID;in;57750;Bank of India
in;UBIN;in;49643;Union Bank of India
hr;03275531;hr;2624119;Dalekovod
nz;71013;nz;974325;DB Breweries
au;618429860;au;57264;George Weston
nz;1930836;nz;2615872;Icebreaker New Zealand Ltd
ch;8924;ch;2624219;Mammut Sports Group AG
au;149534181;au;61030;ModelCo
gb;05393279;gb;2624177;Rentokil Initial PLC
au;106067270;au;889921;Tassal
nl;33236939;nl;2615984;Trafigura Beheer BV
gb;01008739;gb;2855688;Hertz europe limited
gb;05957565;gb;1833625;Tata Steel Europe
ie;426976;ie;2855837;EchoStar Mobile Limited
gb;00787610;gb;56555;Astellas Pharma
gb;02422874;gb;2886259;Sony Europe Limited
hk;1477864;hk;2884331;Elliott Consultants Limited
gb;03675885;gb;2872540;Inmarsat Global Ltd
gb;04810991;gb;2872483;CommunicateResearch Ltd
fr;521477851;fr;2615890;Transdev Group
gb;06704614;gb;4580;NHS
nl;24473890;nl;47690;LyondellBasell Industries
gb;OC354226;gb;2879244;IRG Advisors LLP
gb;03760267;gb;2884324;Sanford C. Bernstein Limited
gb;06667638;gb;2884332;Element Power Limited
gb;03786275;gb;782148;Global Witness
ch;872670;ch;2871560;Mondelez Europe GmbH
gb;OC329859;gb;2884353;Sarasin & Partners LLP
se;556712-7823;se;2884347;TechMarket Sweden AB
gb;04440137;gb;2884348;Sparta Technologies Ltd
gb;07318607;gb;2855905;T&L Sugars Limited
gb;OC303675;gb;829656;Deloitte LLP
gb;OC374468;gb;2884344;S3TRANSPORTATION LLP
gb;06649814;gb;2884335;Source UK Services Limited
gb;04677092;gb;2854274;IG Group Holdings PLC
es;83505651;es;48117;Repsol YPF
cy;HE218195;cy;2886119;Argus Security Projects Ltd.
be;0442832318;be;51298;The Rezidor Hotel Group
au;087650459;au;51292;Teachers Mutual Bank
ca_nb;689949;ca_nb;48692;Thomson Reuters
us_ca;C1369012;us_de;867170;3D Systems
us_co;20041406398;us_de;50055;Level 3 Communications
us_ca;C2625043;us_ca;867419;Ambarella Inc.
us_ca;C1860097;us_de;868956;Endologix, Inc.
us_ny;2829941;us_de;50496;First Niagara Financial
us_ca;C1941086;us_de;869364;FormFactor Inc.
us_ca;C2323567;us_ca;869402;Fortinet, Inc.
us_ca;C1932085;us_de;869725;Harmonic Inc.
